"time_stamp","size","size_on_disk"
1534227606.4514737,800112,15838203509
1534227740.113113,800112,16313891562
1534227234.8779035,800112,14450459398
1534227678.7696126,800112,16097671201
1534227756.6406841,800112,16372860593
1534227322.157644,800112,14784622867
1534227719.825207,800112,16243128768
1534227607.5477831,800112,15842135348
1534227243.062068,800112,14481911378
1534227605.3727286,800112,15834272176
1534227595.6185668,800112,15798892353
1534227502.5171125,800112,15456871742
1534227422.464476,800112,15162025135
1534227291.0574503,800112,14666682701
1534227623.939956,800112,15901104541
1534227555.7229173,800112,15653433178
1534227645.781771,800112,15979731065
1534227616.275768,800112,15873585498
1534227327.373725,800112,14804280266
1534227390.9818645,800112,15044089411
1534227332.6468158,800112,14823937675
1534227373.2898083,800112,14977257182
1534227499.3173292,800112,15445077463
1534227667.7762678,800112,16058357735
1534227723.1714752,800112,16254922671
1534227698.6751761,800112,16168435405
1534227727.6463583,800112,16270647687
1534227604.2977107,800112,15830341103
1534227717.5832822,800112,16235266148
1534227370.194842,800112,14965462759
1534227353.5579202,800112,14902563487
1534227440.5087693,800112,15228858102
1534227407.6420343,800112,15106988513
1534227490.7299736,800112,15413626679
1534227627.2182126,800112,15912898692
1534227758.8517,800112,16380723341
1534227257.4123914,800112,14536949252
1534227278.8392694,800112,14619507517
1534227618.4741945,800112,15881447872
1534227682.0917017,800112,16109465668
1534227455.4175043,800112,15283895624
1534227588.0506816,800112,15771372396
1534227376.476644,800112,14989050621
1534227423.5199509,800112,15165956442
1534227283.8798025,800112,14639163832
1534227572.8846366,800112,15716335156
1534227626.1260922,800112,15908967419
1534227538.6608996,800112,15590533682
1534227319.0727324,800112,14772827702
1534227638.119883,800112,15952212208
1534227546.1246736,800112,15618053269
1534227733.2777321,800112,16290304154
1534227352.528768,800112,14898632006
1534227489.6498814,800112,15409695298
1534227456.470668,800112,15287826601
1534227260.4539704,800112,14548743783
1534227735.503181,800112,16298166576
1534227333.6800783,800112,14827869536
1534227346.2258327,800112,14875044048
1534227361.9180663,800112,14934013743
1534227643.6075296,800112,15971868501
1534227285.9194095,800112,14647025746
1534227689.8069365,800112,16136984783
1534227542.9418988,800112,15606258806
1534227284.8898485,800112,14643094513
1534227697.5644703,800112,16164504410
1534227265.5905023,800112,14568399384
1534227474.6160247,800112,15354658158
1534227751.1395113,800112,16353204036
1534227720.9368277,800112,16247060455
1534227337.847717,800112,14843595622
1534227432.0027022,800112,15197406760
1534227694.2112832,800112,16152710373
1534227687.589769,800112,16129122423
1534227336.8136933,800112,14839664505
1534227421.4046502,800112,15158093880
1534227311.876073,800112,14745309505
1534227696.4523723,800112,16160572805
1534227690.9066567,800112,16140916060
1534227328.4253097,800112,14808211451
1534227742.3234162,800112,16321753990
1534227702.0053942,800112,16180229516
1534227428.814207,800112,15185613419
1534227294.1586356,800112,14678477020
1534227592.3781588,800112,15787098586
1534227743.4296236,800112,16325685739
1534227755.5434718,800112,16368929236
1534227393.0645366,800112,15051951477
1534227457.5254025,800112,15291758194
1534227507.869621,800112,15476525997
1534227320.0964284,800112,14776759781
1534227445.8124151,800112,15248514457
1534227402.4574873,800112,15087333436
1534227596.7118652,800112,15802823142
1534227444.7555003,800112,15244583532
1534227568.6022975,800112,15700609164
1534227684.2934346,800112,16117328772
1534227706.4360864,800112,16195955236
1534227554.6456044,800112,15649502615
1534227277.8294206,800112,14615576096
1534227661.1833274,800112,16034769049
1534227668.8682332,800112,16062288878
1534227441.567393,800112,15232789807
1534227435.190437,800112,15209201741
1534227303.5697982,800112,14713858417
1534227452.2042356,800112,15272102281
1534227264.5704107,800112,14564468163
1534227497.1582615,800112,15437214621
1534227492.8722012,800112,15421489749
1534227410.8008227,800112,15118781710
1534227562.1422684,800112,15677021498
1534227255.384037,800112,14529087064
1534227331.5205016,800112,14820006028
1534227230.826061,800112,14434733846
1534227564.294946,800112,15684883464
1534227238.9378946,800112,14466185876
1534227640.3057938,800112,15960074546
1534227675.4812675,800112,16085877094
1534227745.6292276,800112,16333548279
1534227633.7434895,800112,15936486576
1534227550.3819234,800112,15633778631
1534227712.021907,800112,16215611195
1534227583.716797,800112,15755647780
1534227506.799455,800112,15472595126
1534227561.0705335,800112,15673090241
1534227508.922705,800112,15480456742
1534227248.193294,800112,14501567729
1534227530.1555097,800112,15559082686
1534227388.8937585,800112,15036227055
1534227307.715401,800112,14729584097
1534227528.0414054,800112,15551220498
1534227722.0443726,800112,16250991378
1534227754.440406,800112,16364997915
1534227396.1991496,800112,15063746210
1534227644.6953163,800112,15975799920
1534227580.453491,800112,15743853609
1534227477.8349998,800112,15366452035
1534227522.729804,800112,15531563529
1534227324.2388678,800112,14792485807
1534227312.904591,800112,14749240918
1534227261.4750073,800112,14552674758
1534227382.6668856,800112,15012638257
1534227321.123334,800112,14780691316
1534227354.689564,800112,14906494888
1534227753.3366203,800112,16361066548
1534227305.652493,800112,14721720989
1534227389.9385116,800112,15040158496
1534227404.5311725,800112,15095195530
1534227619.563639,800112,15885379031
1534227540.7917738,800112,15598396146
1534227434.1248298,800112,15205270420
1534227552.5153959,800112,15641640541
1534227679.876694,800112,16101602426
1534227233.867695,800112,14446528251
1534227386.8162959,800112,15028363829
1534227419.2577028,800112,15150230860
1534227610.7927027,800112,15853929263
1534227288.9771163,800112,14658819139
1534227357.783329,800112,14918288453
1534227639.211784,800112,15956143639
1534227451.1329896,800112,15268170990
1534227512.0888677,800112,15492250739
1534227392.0263326,800112,15048020226
1534227301.4849432,800112,14705996201
1534227447.9412296,800112,15256377007
1534227287.9565916,800112,14654888184
1534227549.3156116,800112,15629846988
1534227296.2852547,800112,14686339540
1534227718.700476,800112,16239197403
1534227258.435544,800112,14540880737
1534227263.5516331,800112,14560536660
1534227620.656411,800112,15889310174
1534227673.2748156,800112,16078014446
1534227635.935627,800112,15944349902
1534227482.1315765,800112,15382176867
1534227412.905829,800112,15126643116
