"time_stamp","size","size_on_disk"
1534431330.6671557,912,2120038219
1534431330.6671638,912,2120038219
1534431330.6671681,912,2120038219
1534431330.6671715,912,2120038219
1534431330.6671755,912,2120038219
1534431330.6671793,912,2120038219
1534431330.667183,912,2120038219
1534431330.667187,912,2120038219
1534431330.667191,912,2120038219
1534431330.6671948,912,2120038219
1534431330.6671982,912,2120038219
1534431330.6672015,912,2120038219
1534431330.6672053,912,2120038219
1534431330.667209,912,2120038219
1534431330.6672122,912,2120038219
1534431330.6672156,912,2120038219
1534431330.6672192,912,2120038219
1534431330.6672225,912,2120038219
1534431330.667226,912,2120038219
1534431330.6672297,912,2120038219
1534431330.667233,912,2120038219
1534431330.6672363,912,2120038219
1534431330.6672397,912,2120038219
1534431330.667243,912,2120038219
1534431330.6672466,912,2120038219
1534431330.66725,912,2120038219
1534431330.6672535,912,2120038219
1534431330.6672568,912,2120038219
1534431330.6672604,912,2120038219
1534431330.6672637,912,2120038219
1534431330.667267,912,2120038219
1534431330.6672707,912,2120038219
1534431330.667274,912,2120038219
1534431330.6672773,912,2120038219
1534431330.6672807,912,2120038219
1534431330.667284,912,2120038219
1534431330.6672876,912,2120038219
1534431330.6672912,912,2120038219
1534431330.6672945,912,2120038219
1534431330.667298,912,2120038219
1534431330.6673014,912,2120038219
1534431330.6673048,912,2120038219
1534431330.6673083,912,2120038219
1534431330.6673117,912,2120038219
1534431330.667315,912,2120038219
1534431330.6673183,912,2120038219
1534431330.6673217,912,2120038219
1534431330.6673253,912,2120038219
1534431330.6673286,912,2120038219
1534431330.667332,912,2120038219
1534431330.6673353,912,2120038219
1534431330.6673386,912,2120038219
1534431330.6673422,912,2120038219
1534431330.6673455,912,2120038219
1534431330.6673486,912,2120038219
1534431330.6673524,912,2120038219
1534431330.6673555,912,2120038219
1534431330.6673589,912,2120038219
1534431330.6673625,912,2120038219
1534431330.667366,912,2120038219
1534431330.6673694,912,2120038219
1534431330.6673727,912,2120038219
1534431330.667376,912,2120038219
1534431330.6673796,912,2120038219
1534431330.667383,912,2120038219
1534431330.6673863,912,2120038219
1534431330.6673899,912,2120038219
1534431330.6673932,912,2120038219
1534431330.6673965,912,2120038219
1534431330.6674,912,2120038219
1534431330.6674035,912,2120038219
1534431330.6674068,912,2120038219
1534431330.6674104,912,2120038219
1534431330.6674144,912,2120038219
1534431330.6674178,912,2120038219
1534431330.667421,912,2120038219
1534431330.6674247,912,2120038219
1534431330.667428,912,2120038219
1534431330.6674314,912,2120038219
1534431330.667435,912,2120038219
1534431330.6674383,912,2120038219
1534431330.6674418,912,2120038219
1534431330.6674452,912,2120038219
1534431330.6674488,912,2120038219
1534431330.6674523,912,2120038219
1534431330.667456,912,2120038219
1534431330.6674592,912,2120038219
1534431330.6674628,912,2120038219
1534431330.6674664,912,2120038219
1534431330.66747,912,2120038219
1534431330.6674733,912,2120038219
1534431330.6674767,912,2120038219
1534431330.66748,912,2120038219
1534431330.6674836,912,2120038219
1534431330.667487,912,2120038219
1534431330.6674902,912,2120038219
1534431330.6674938,912,2120038219
1534431330.6674972,912,2120038219
1534431330.6675007,912,2120038219
1534431330.667504,912,2120038219
1534431334.507388,912,2120062876
1534431334.5073946,912,2120062876
1534431334.5073988,912,2120062876
1534431334.5074022,912,2120062876
1534431334.5074058,912,2120062876
1534431334.5074093,912,2120062876
1534431334.5074127,912,2120062876
1534431334.507416,912,2120062876
1534431334.5074196,912,2120062876
1534431334.5074232,912,2120062876
1534431334.5074265,912,2120062876
1534431334.5074306,912,2120062876
1534431334.5074341,912,2120062876
1534431334.5074375,912,2120062876
1534431334.507441,912,2120062876
1534431334.5074444,912,2120062876
1534431334.5074477,912,2120062876
1534431334.5074513,912,2120062876
1534431334.5074546,912,2120062876
1534431334.507458,912,2120062876
1534431334.5074613,912,2120062876
1534431334.5074646,912,2120062876
1534431334.507468,912,2120062876
1534431334.5074713,912,2120062876
1534431334.5074747,912,2120062876
1534431334.5074782,912,2120062876
1534431334.5074816,912,2120062876
1534431334.507485,912,2120062876
1534431334.5074887,912,2120062876
1534431334.507492,912,2120062876
1534431334.5074954,912,2120062876
1534431334.5074987,912,2120062876
1534431334.507502,912,2120062876
1534431334.5075054,912,2120062876
1534431334.5075088,912,2120062876
1534431334.5075123,912,2120062876
1534431334.5075157,912,2120062876
1534431334.507519,912,2120062876
1534431334.5075223,912,2120062876
1534431334.507526,912,2120062876
1534431334.5075295,912,2120062876
1534431334.5075328,912,2120062876
1534431334.5075362,912,2120062876
1534431334.5075395,912,2120062876
1534431334.5075428,912,2120062876
1534431334.5075462,912,2120062876
1534431334.5075495,912,2120062876
1534431334.507553,912,2120062876
1534431334.5075567,912,2120062876
1534431334.50756,912,2120062876
1534431334.5075634,912,2120062876
1534431334.5075667,912,2120062876
1534431334.5075703,912,2120062876
1534431334.5075738,912,2120062876
1534431334.5075772,912,2120062876
